霸道横行 bà dào héng xíng
拔刀相向 bá dāo xiāng xiàng
拔刀相助 bá dāo xiāng zhù
拔地参天 bá dì cān tiān
拔地摇山 bá dì yáo shān
拔地倚天 bá dì yǐ tiān
拔丁抽楔 bá dīng chōu xiē
八洞神仙 bā dòng shén xiān
八斗之才 bā dǒu zhī cái
把饭叫饥 bǎ fàn jiào jī
八方风雨 bā fāng fēng yǔ
八方呼应 bā fāng hū yìng
八方支持 bā fāng zhī chí
八方支援 bā fāng zhī yuán
八府巡按 bā fǔ xún àn
扒高踩低 bā gāo cǎi dī
巴高望上 bā gāo wàng shàng
巴高枝儿 bā gāo zhī ér
八功德水 bā gōng dé shuǐ
八卦方位 bā guà fāng wèi
八观六验 bā guān liù yàn
拔锅卷席 bá guō juǎn xí
八国联军 bā guó lián jūn
八纮同轨 bā hóng tóng guǐ
跋扈飞扬 bá hù fēi yáng
跋扈将军 bá hù jiāng jūn
跋胡疐尾 bá hú zhì wěi
跋扈恣睢 bá hù zì suī
跋扈自恣 bá hù zì zì
八荒之外 bā huāng zhī wài
拔火罐子 bá huǒ guàn zi
拔剑论功 bá jiàn lùn gōng
八街九陌 bā jiē jiǔ mò
扒街淘空 bā jiē táo kōng
把酒持螯 bǎ jiǔ chí áo
拔葵啖枣 bá kuí dàn zǎo
拔葵去织 bá kuí qù zhī
拔来报往 bá lái fù wǎng
跋来报往 bá lái fù wǎng
拔类超群 bá lèi chāo qún
巴黎和会 bā lí hé huì
霸陵醉尉 bà líng zuì wèi
跋履山川 bá lǚ shān chuān
拔毛济世 bá máo jì shì
拔毛连茹 bá máo lián rú
拔茅连茹 bá máo lián rú
八米卢郎 bā mǐ lú láng
八面见光 bā miàn jiàn guāng
八面玲珑 bā miàn líng lóng
八面驶风 bā miàn shǐ fēng
八面受敌 bā miàn shòu dí
八面威风 bā miàn wēi fēng
八面莹澈 bā miàn yíng chè
八面圆通 bā miàn yuán tōng
八面张罗 bā miàn zhāng luo
拔苗助长 bá miáo zhù zhǎng
八难三灾 bā nàn sān zāi
八旗子弟 bā qí zi dì
跋前踕后 bá qián jié hòu
八千卷楼 bā qiān juàn lóu
巴前算后 bā qián suàn hòu
跋前疐后 bá qián zhì hòu
跋前踬后 bá qián zhì hòu
霸权主义 bà quán zhǔ yì
拔群出萃 bá qún chū cuì
八人大轿 bā rén dà jiào
巴人下里 bā rén xià lǐ
霸闰之朝 bà rùn zhī cháo
巴三揽四 bā sān lǎn sì
巴三览四 bā sān lǎn sì
拔山超海 bá shān chāo hǎi
巴山度岭 bā shān dù lǐng
拔山盖世 bá shān gài shì
拔山扛鼎 bá shān gāng dǐng
拔山举鼎 bá shān jǔ dǐng
跋山涉川 bá shān shè chuān
跋山涉水 bá shān shè shuǐ
巴山蜀水 bā shān shǔ shuǐ
巴山夜雨 bā shān yè yǔ
巴山越岭 bā shān yuè lǐng
拔舌地狱 bá shé dì yù
跋涉山川 bá shè shān chuān
八声甘州 bā shēng gān zhōu
拔十得五 bá shí dé wǔ
拔十失五 bá shí shī wǔ
八十四调 bā shí sì diào
八十种好 bā shí zhǒng hǎo
拔树撼山 bá shù hàn shān
拔树搜根 bá shù sōu gēn
拔树削迹 bá shù xiāo jì
拔树寻根 bá shù xún gēn
把素持斋 bǎ sù chí zhāi
八抬大轿 bā tái dà jiào
巴头探脑 bā tóu tàn nǎo
八万四千 bā wàn sì qiān
把玩无厌 bǎ wán wǔ yàn
霸王别姬 bà wáng bié jī
霸王风月 bà wáng fēng yuè
霸王卸甲 bà wáng xiè jiǎ
八王之乱 bā wáng zhī luàn
霸王之资 bà wáng zhī zī
拔犀擢象 bá xī zhuó xiàng
拔辖投井 bá xiá tóu jǐng
八仙过海 bā xiān guò hǎi
拔新领异 bá xīn lǐng yì
把薪助火 bǎ xīn zhù huǒ
八音迭奏 bā yīn dié zòu
八音遏密 bā yīn è mì
八音领袖 bā yīn lǐng xiù
拔宅飞升 bá zhái fēi shēng
拔宅上升 bá zhái shàng shēng
拔赵易汉 bá zhào yì hàn
拔着短筹 bá zhe duǎn chóu
八珍玉食 bā zhēn yù shí
拔帜树帜 bá zhì shù zhì
拔帜易帜 bá zhì yì zhì
跋烛之咨 bá zhú zhī zī
八砖学士 bā zhuān xué shì
八字打开 bā zì dǎ kāi
八字门楼 bā zì mén lóu
八座尚书 bā zuò shàng shū
摆八卦阵 bǎi bā guà zhèn
百八真珠 bǎi bā zhēn zhū
白白朱朱 bái bái zhū zhū
百般刁难 bǎi bān diāo nàn
百般奉承 bǎi bān fèng chéng
百般抚慰 bǎi bān fǔ wèi
百般无赖 bǎi bān wú lài
百般折磨 bǎi bān zhé mó
百宝万货 bǎi bǎo wàn huò
百弊丛生 bǎi bì cóng shēng
白璧青蝇 bái bì qīng yíng
白璧三献 bái bì sān xiàn
白璧微瑕 bái bì wēi xiá
白璧无瑕 bái bì wú xiá
百步穿杨 bǎi bù chuān yáng
百不当一 bǎi bù dāng yī
百不获一 bǎi bù huò yī
百不失一 bǎi bù shī yī
败不旋踵 bài bù xuán zhǒng
百不一存 bǎi bù yī cún
百不一贷 bǎi bù yī dài
百不一遇 bǎi bù yī yù
败材伤锦 bài cái shāng jǐn
白草黄云 bái cǎo huáng  yún
百城之富 bǎi chéng zhī fù
柏成子高 bǎi chéng zǐ gāo
百尺竿头 bǎi chǐ gān tóu
白齿青眉 bái chǐ qīng méi
百尺无枝 bǎi chǐ wú zhī
百虫将军 bǎi chóng jiāng jūn
百川朝海 bǎi chuān cháo hǎi
百川赴海 bǎi chuān fù hǎi
百川归海 bǎi chuān guī hǎi
百辞莫辩 bǎi cí mò biàn
拜赐之师 bài cì zhī shī
百代过客 bǎi dài guò kè
百代文宗 bǎi dài wén zōng
拜倒辕门 bài dǎo yuán mén
败德辱行 bài dé rǔ xíng
白地将军 bái dì jiāng jūn
白藋同心 bái diào tóng xīn
白丁俗客 bái dīng sú kè
百读不厌 bǎi dú bù yàn
百堵皆作 bǎi dǔ jiē zuò
百端待举 bǎi duān dài jǔ
百端交集 bǎi duān jiāo jí
拜恩私室 bài ēn sī shì
稗耳贩目 bài ěr fàn mù
百二关河 bǎi èr guān hé
百二河山 bǎi èr hé shān
百二金瓯 bǎi èr jīn ōu
百二山川 bǎi èr shān chuān
百二山河 bǎi èr shān hé
百发百中 bǎi fā bǎi zhòng
白发苍苍 bái fà cāng cāng
白发苍颜 bái fà cāng yán
白发丹心 bái fà dān xīn
白发红颜 bái fà hóng yán
败法乱纪 bài fǎ luàn jì
白发千丈 bái fà qiān zhàng
白发青衫 bái fà qīng shān
白发朱颜 bái fà zhū yán
百凡待举 bǎi fán dài jǔ
白饭青刍 bái fàn qīng chú
百废待举 bǎi fèi dài jǔ
百废待兴 bǎi fèi dài xīng
百废俱举 bǎi fèi jù jǔ
百废具举 bǎi fèi jù jǔ
百废俱兴 bǎi fèi jù xīng
百废具兴 bǎi fèi jù xīng
百废具作 bǎi fèi jù zuò
白费口舌 bái fèi kǒu shé
百废咸举 bǎi fèi xián jǔ
百分之百 bǎi fēn zhī bǎi
百福具臻 bǎi fú jù zhēn
百感交集 bǎi gǎn jiāo jí
白骨露野 bái gǔ lù yě
白骨再肉 bái gǔ zài ròu
败鼓之皮 bài gǔ zhī pí
百怪千奇 bǎi guài qiān qí
白冠厘缨 bái guān lí yīng
稗官小说 bài guān xiǎo shuō
稗官野史 bài guān yě shǐ
拜鬼求神 bài guǐ qiú shén
白圭之玷 bái guī zhī diàn
百鬼众魅 bǎi guǐ zhòng mèi
拜衮之岁 bài gǔn zhī suì
败国丧家 bài guó sàng jiā
败国亡家 bài guó wáng jiā
百骸九窍 bǎi hái jiǔ qiào
白鹤晾翅 bái hè liàng chì
捭阖纵横 bǎi hé zòng héng
白黑不分 bái hēi  bù  fēn
白黑颠倒 bái hēi diān dǎo
白黑分明 bái hēi fēn míng
白虹贯日 bái hóng guàn rì
白话八股 bái huà bā gǔ
百花龙锦 bǎi huā lóng jǐn
百花齐放 bǎi huā qí fàng
败化伤风 bài huà shāng fēng
百花生日 bǎi huā shēng rì
百花争妍 bǎi huā zhēng yán
百花争艳 bǎi huā zhēng yàn
白华之怨 bái huá zhī yuàn
百堕俱举 bǎi huī jù jǔ
百喙莫辩 bǎi huì mò biàn
百喙难辩 bǎi huì nán biàn
百喙难辞 bǎi huì nán cí
百卉千葩 bǎi huì qiān pā
百喙如一 bǎi huì rú yī
百喙一词 bǎi huì yī cí
百计千方 bǎi jì qiān fāng
百计千谋 bǎi jì qiān móu
百计千心 bǎi jì qiān xīn
败绩失据 bài jì shī jù
百鸡问题 bǎi jī wèn tí
白袷蓝衫 bái jiá lán shān
百家争鸣 bǎi jiā zhēng míng
败将残兵 bài jiàng cán bīng
拜将封侯 bài jiàng fēng hóu
百结愁肠 bǎi jié chóu cháng
百结悬鹑 bǎi jié xuán chún
白金龟龙 bái jīn guī lóng
白金三品 bái jīn sān pǐn
拜金主义 bài jīn zhǔ yì
败井颓垣 bài jǐng tuí yuán
百举百捷 bǎi jǔ bǎi jié
百举百全 bǎi jǔ bǎi quán
白驹过郄 bái jū guò xì
白驹过隙 bái jū guò xì
白驹空谷 bái jū kōng gǔ
败军之将 bài jūn zhī jiàng
掰开揉碎 bāi kāi róu suì
百科全书 bǎi kē quán shū
百孔千创 bǎi kǒng qiān chuāng
百孔千疮 bǎi kǒng qiān chuāng
百口莫辩 bǎi kǒu mò biàn
百口难分 bǎi kǒu nán fēn
百口同声 bǎi kǒu tóng shēng
白蜡明经 bái là míng jīng
白浪掀天 bái làng xiān tiān
摆老资格 bǎi lǎo zī gé
百里挑一 bǎi lǐ tiāo yī
百里之才 bǎi lǐ zhī cái
百里之命 bǎi lǐ zhī mìng
百炼成刚 bǎi liàn chéng gāng
百炼成钢 bǎi liàn chéng gāng
百了千当 bǎi liǎo qiān dāng
败鳞残甲 bài lín cán jiǎ
百伶百俐 bǎi líng bǎi lì
百龄眉寿 bǎi líng méi shòu
败柳残花 bài liǔ cán huā
摆龙门阵 bǎi lóng mén zhèn
白龙鱼服 bái lóng yú fú
白鹿皮币 bái lù pí bì
白鹭转花 bái lù zhuǎn huā
拜洛受图 bài luò shòu tú
百虑一致 bǎi lǜ yī zhì
百虑攒心 bǎi lǜ zǎn xīn
白马清流 bái mǎ qīng liú
白马三郎 bái mǎ sān láng
白旄黄钺 bái máo huáng yuè
白眉赤眼 bái méi chì yǎn
百媚千娇 bǎi mèi qiān jiāo
摆迷魂阵 bǎi mí hún zhèn
百密一疏 bǎi mì yī shū
白面儒冠 bái miàn rú guān
白面儒生 bái miàn rú shēng
白面书郎 bái miàn shū láng
白面书生 bái miàn shū shēng
百谋千计 bǎi móu qiān jì
百年不遇 bǎi nián bù yù
百年大计 bǎi nián dà jì
百年大业 bǎi nián dà yè
百年好合 bǎi nián hǎo hé
百年好事 bǎi nián hǎo shì
百念皆灰 bǎi niàn jiē huī
百年难遇 bǎi nián nán yù
百年树人 bǎi nián shù rén
百年偕老 bǎi nián xié lǎo
百年谐老 bǎi nián xié lǎo
百年之柄 bǎi nián zhī bǐng
百年之好 bǎi nián zhī hǎo
百年之后 bǎi nián zhī hòu
百年之业 bǎi nián zhī yè
百年之约 bǎi nián zhī yuē
百鸟朝凤 bǎi niǎo cháo fèng
百品千条 bǎi pǐn qiān tiáo
白帢青衫 bái jiá qīng shān
百巧成穷 bǎi qiǎo chéng qióng
百巧千穷 bǎi qiǎo qiān qióng
百忍成金 bǎi rěn chéng jīn
白日飞升 bái rì fēi shēng
白日见鬼 bái rì jiàn guǐ
白日青天 bái rì qīng tiān
白日上升 bái rì shàng shēng
白日升天 bái rì shēng tiān
白日绣衣 bái rì xiù yī
白日衣绣 bái rì yì xiù
白日作梦 bái rì zuò mèng
白日做梦 bái rì zuò mèng
白色恐怖 bái sè kǒng bù
白山黑水 bái shān hēi shuǐ
百舍重茧 bǎi shè chóng jiǎn
百舍重趼 bǎi shè chóng jiǎn
百舌之声 bǎi shé zhī shēng
百身何赎 bǎi shēn hé shú
百身莫赎 bǎi shēn mò shú
百世不磨 bǎi shì bù mó
百世不易 bǎi shì bù yì
百事大吉 bǎi shì dà jí
白石飞仙 bái shí fēi xiān
百世流芳 bǎi shì liú fāng
百世流芬 bǎi shì liú fēn
百事无成 bǎi shì wú chéng
白石先生 bái shí xiān shēng
百世一人 bǎi shì yī rén
百世之利 bǎi shì zhī lì
百世之师 bǎi shì zhī shī
白首北面 bái shǒu běi miàn
白首不渝 bái shǒu bù yú
白手成家 bái shǒu chéng jiā
白首空归 bái shǒu kōng guī
白手空拳 bái shǒu kōng quán
白手起家 bái shǒu qǐ jiā
白首齐眉 bái shǒu qí méi
