百端待举 bǎi duān dài jǔ 97400
百端交集 bǎi duān jiāo jí 15400
拜恩私室 bài ēn sī shì 3220
稗耳贩目 bài ěr fàn mù 1520
百二关河 bǎi èr guān hé 65200
百二河山 bǎi èr hé shān 62800
百二金瓯 bǎi èr jīn ōu 20800
百二山川 bǎi èr shān chuān 95800
百二山河 bǎi èr shān hé 119000
百发百中 bǎi fā bǎi zhòng 7400000
白发苍苍 bái fà cāng cāng 3070000
白发苍颜 bái fà cāng yán 157000
白发丹心 bái fà dān xīn 220000
白发红颜 bái fà hóng yán 891000
败法乱纪 bài fǎ luàn jì 48100
白发千丈 bái fà qiān zhàng 99100
白发青衫 bái fà qīng shān 215000
白发朱颜 bái fà zhū yán 242000
百凡待举 bǎi fán dài jǔ 2720
白饭青刍 bái fàn qīng chú 4070
百废待举 bǎi fèi dài jǔ 393000
百废待兴 bǎi fèi dài xīng 3930000
百废俱举 bǎi fèi jù jǔ 58700
百废具举 bǎi fèi jù jǔ 36800
百废俱兴 bǎi fèi jù xīng 801000
百废具兴 bǎi fèi jù xīng 544000
百废具作 bǎi fèi jù zuò 4410
白费口舌 bái fèi kǒu shé 360000
百废咸举 bǎi fèi xián jǔ 2840
百分之百 bǎi fēn zhī bǎi 19500000
百福具臻 bǎi fú jù zhēn 84100
百感交集 bǎi gǎn jiāo jí 9280000
白骨露野 bái gǔ lù yě 45000
白骨再肉 bái gǔ zài ròu 2830
败鼓之皮 bài gǔ zhī pí 43500
百怪千奇 bǎi guài qiān qí 458000
白冠厘缨 bái guān lí yīng 863
稗官小说 bài guān xiǎo shuō 619000
稗官野史 bài guān yě shǐ 887000
拜鬼求神 bài guǐ qiú shén 95500
白圭之玷 bái guī zhī diàn 119000
百鬼众魅 bǎi guǐ zhòng mèi 36900
拜衮之岁 bài gǔn zhī suì 622
败国丧家 bài guó sàng jiā 40200
败国亡家 bài guó wáng jiā 72900
百骸九窍 bǎi hái jiǔ qiào 24600
白鹤晾翅 bái hè liàng chì 338000
捭阖纵横 bǎi hé zòng héng 1750000
白黑不分 bái hēi  bù  fēn 355000
白黑颠倒 bái hēi diān dǎo 582000
白黑分明 bái hēi fēn míng 33200
白虹贯日 bái hóng guàn rì 947000
白话八股 bái huà bā gǔ 76100
百花龙锦 bǎi huā lóng jǐn 19200
百花齐放 bǎi huā qí fàng 21300000
败化伤风 bài huà shāng fēng 66200
百花生日 bǎi huā shēng rì 1260000
百花争妍 bǎi huā zhēng yán 648000
百花争艳 bǎi huā zhēng yàn 2350000
白华之怨 bái huá zhī yuàn 42000
百堕俱举 bǎi huī jù jǔ 2380
百喙莫辩 bǎi huì mò biàn 32600
百喙难辩 bǎi huì nán biàn 4690
百喙难辞 bǎi huì nán cí 3470
百卉千葩 bǎi huì qiān pā 97700
百喙如一 bǎi huì rú yī 54000
百喙一词 bǎi huì yī cí 4650
百计千方 bǎi jì qiān fāng 15400
百计千谋 bǎi jì qiān móu 4760
百计千心 bǎi jì qiān xīn 4800
败绩失据 bài jì shī jù 2170
百鸡问题 bǎi jī wèn tí 63200
白袷蓝衫 bái jiá lán shān 2800
百家争鸣 bǎi jiā zhēng míng 16700000
败将残兵 bài jiàng cán bīng 1300000
拜将封侯 bài jiàng fēng hóu 221000
百结愁肠 bǎi jié chóu cháng 99900
百结悬鹑 bǎi jié xuán chún 6540
白金龟龙 bái jīn guī lóng 29500
白金三品 bái jīn sān pǐn 203000
拜金主义 bài jīn zhǔ yì 2190000
败井颓垣 bài jǐng tuí yuán 2850
百举百捷 bǎi jǔ bǎi jié 81700
百举百全 bǎi jǔ bǎi quán 154000
白驹过郄 bái jū guò xì 12000
白驹过隙 bái jū guò xì 7830000
白驹空谷 bái jū kōng gǔ 49700
败军之将 bài jūn zhī jiàng 897000
